idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:54:58,Sim,178908,Delegado Éder Mauro,PSD,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:59,Sim,179001,Márcio Biolchi,MDB,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:59,Sim,178990,Samuel Moreira,PSDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:54:59,Sim,204440,Christino Aureo,PP,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:02,Sim,74478,Luciano Bivar,PSL,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:03,Sim,178945,Rosangela Gomes,REPUBLICANOS,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:03,Sim,204436,Isnaldo Bulhões Jr.,MDB,AL,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:04,Sim,204518,Dr. Frederico,PATRI,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:05,Sim,204565,Professora Dayane Pimentel,PSL,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:06,Sim,196358,Lourival Gomes,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:07,Sim,204451,Delegado Antônio Furtado,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:08,Sim,160534,Lauriete,PL,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:08,Sim,204549,AJ Albuquerque,PP,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:09,Sim,204488,Célio Studart,PV,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:09,Sim,204521,Abou Anni,PSL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:11,Sim,74585,Lincoln Portela,PL,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:12,Sim,204515,André Janones,AVANTE,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:12,Sim,204576,João Roma,REPUBLICANOS,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:13,Sim,204510,Franco Cartafina,PP,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:13,Obstrução,74299,Leônidas Cristino,PDT,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:13,Sim,160651,Rogério Peninha Mendonça,MDB,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:13,Sim,204572,Capitão Alberto Neto,REPUBLICANOS,AM,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:15,Sim,205476,Charles Fernandes,PSD,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:16,Sim,204573,Otto Alencar Filho,PSD,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:17,Obstrução,204535,Sâmia Bomfim,PSOL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:17,Sim,178984,Miguel Haddad,PSDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:18,Sim,160665,Augusto Coutinho,SOLIDARIEDADE,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:19,Sim,204459,Daniela do Waguinho,MDB,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:19,Sim,160976,Tiririca,PL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:20,Sim,178920,Ricardo Teobaldo,PODE,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:21,Obstrução,178874,Sergio Vidigal,PDT,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:21,Sim,73788,Ricardo Barros,PP,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:22,Obstrução,74283,Vicentinho,PT,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:22,Sim,204442,Gurgel,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:24,Sim,141531,Rodrigo de Castro,PSDB,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:25,Sim,204449,Nelson Barbudo,PSL,MT,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:27,Obstrução,204533,Idilvan Alencar,PDT,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:27,Sim,204423,André Ferreira,PSC,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:27,Sim,141523,Raul Henry,MDB,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:28,Sim,160541,Arthur Lira,PP,AL,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:28,Sim,204355,Da Vitória,CIDADANIA,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:28,Sim,74459,Átila Lira,PSB,PI,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:30,Sim,135054,Cristiano Vale,PL,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:30,Sim,204390,Professor Alcides,PP,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:32,Sim,116379,Darci de Matos,PSD,SC,Finanças Públicas e Orçamento
