uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/291513,PLV,19,2005.0,58,Trabalho e Emprego,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292198,PLV,20,2005.0,39,Esporte e Lazer,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298251,EMS,21,2005.0,46,Educação,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298251,EMS,21,2005.0,58,Trabalho e Emprego,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295328,PLV,21,2005.0,46,Educação,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295328,PLV,21,2005.0,58,Trabalho e Emprego,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/296212,PLV,22,2005.0,58,Trabalho e Emprego,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/302541,EMS,23,2005.0,62,"Ciência, Tecnologia e Inovação",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/302541,EMS,23,2005.0,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/302541,EMS,23,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/297744,PLV,23,2005.0,62,"Ciência, Tecnologia e Inovação",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/297744,PLV,23,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/297744,PLV,23,2005.0,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/300828,PLV,24,2005.0,57,Defesa e Segurança,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/279494,SIT,25,2005.0,40,Economia,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/300968,PLV,25,2005.0,52,Previdência e Assistência Social,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/300968,PLV,25,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/287206,REP,26,2005.0,53,Processo Legislativo e Atuação Parlamentar,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/284847,SIT,26,2005.0,34,Administração Pública,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/302225,PLV,26,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274854,MSC,26,2005.0,37,Comunicações,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/305665,EMS,27,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/287208,REP,27,2005.0,66,"Indústria, Comércio e Serviços",3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/287208,REP,27,2005.0,37,Comunicações,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303583,PLV,27,2005.0,46,Educação,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303583,PLV,27,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/303583,PLV,27,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274855,MSC,27,2005.0,37,Comunicações,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288489,REP,28,2005.0,53,Processo Legislativo e Atuação Parlamentar,6
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288489,REP,28,2005.0,34,Administração Pública,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/285140,SIT,28,2005.0,34,Administração Pública,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/304779,PLV,28,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292016,REP,29,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292016,REP,29,2005.0,53,Processo Legislativo e Atuação Parlamentar,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/304869,PLV,29,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/304869,PLV,29,2005.0,70,Finanças Públicas e Orçamento,0
